account_id,customer_id,account_type,credit_limit,open_date,status
ACC_CUST_00000_0,CUST_00000,credit,10762.5,2023-11-19,active
ACC_CUST_00001_0,CUST_00001,mortgage,934952.82,2023-04-27,active
ACC_CUST_00001_1,CUST_00001,loan,79894.13,2023-01-05,active
ACC_CUST_00002_0,CUST_00002,credit,9394.64,2022-09-14,active
ACC_CUST_00002_1,CUST_00002,credit,33621.34,2023-08-07,active
ACC_CUST_00002_2,CUST_00002,credit,10456.59,2023-08-07,active
ACC_CUST_00003_0,CUST_00003,mortgage,1136501.6,2022-09-09,active
ACC_CUST_00004_0,CUST_00004,credit,19453.05,2023-04-06,active
ACC_CUST_00004_1,CUST_00004,credit,11430.46,2023-11-09,active
ACC_CUST_00004_2,CUST_00004,credit,13031.05,2023-05-24,active
ACC_CUST_00005_0,CUST_00005,loan,73846.36,2022-02-13,active
ACC_CUST_00006_0,CUST_00006,mortgage,2025585.63,2023-11-09,active
ACC_CUST_00007_0,CUST_00007,credit,8900.93,2023-05-11,active
ACC_CUST_00008_0,CUST_00008,mortgage,2899345.67,2023-01-13,active
ACC_CUST_00008_1,CUST_00008,credit,11301.33,2020-05-29,active
ACC_CUST_00008_2,CUST_00008,credit,47086.18,2022-03-28,active
ACC_CUST_00009_0,CUST_00009,loan,115776.45,2022-12-31,active
ACC_CUST_00009_1,CUST_00009,credit,469672.06,2022-06-26,active
ACC_CUST_00009_2,CUST_00009,credit,11035.62,2021-08-18,active
ACC_CUST_00010_0,CUST_00010,loan,77577.17,2022-06-06,active
ACC_CUST_00010_1,CUST_00010,credit,12872.43,2022-09-15,active
ACC_CUST_00011_0,CUST_00011,credit,11803.52,2021-09-25,active
ACC_CUST_00011_1,CUST_00011,loan,51552.6,2019-08-25,active
ACC_CUST_00011_2,CUST_00011,loan,133275.95,2021-06-02,active
ACC_CUST_00012_0,CUST_00012,loan,64788.99,2023-12-31,active
ACC_CUST_00012_1,CUST_00012,credit,10006.27,2022-12-04,active
ACC_CUST_00013_0,CUST_00013,credit,9992.19,2023-05-17,active
ACC_CUST_00013_1,CUST_00013,loan,35218.36,2023-06-27,active
ACC_CUST_00014_0,CUST_00014,credit,29574.08,2023-07-07,active
ACC_CUST_00014_1,CUST_00014,loan,45166.47,2022-12-11,active
ACC_CUST_00015_0,CUST_00015,credit,16143.17,2023-07-27,active
ACC_CUST_00015_1,CUST_00015,credit,22413.89,2022-07-16,active
ACC_CUST_00015_2,CUST_00015,loan,80913.86,2022-09-10,active
ACC_CUST_00016_0,CUST_00016,credit,18403.94,2022-10-21,active
ACC_CUST_00016_1,CUST_00016,mortgage,693639.75,2022-07-01,active
ACC_CUST_00017_0,CUST_00017,credit,18763.76,2023-01-28,active
ACC_CUST_00017_1,CUST_00017,credit,13505.64,2023-04-03,active
ACC_CUST_00017_2,CUST_00017,credit,14736.46,2022-11-20,active
ACC_CUST_00018_0,CUST_00018,credit,10954.8,2023-05-06,active
ACC_CUST_00018_1,CUST_00018,loan,42670.64,2022-12-28,active
ACC_CUST_00018_2,CUST_00018,loan,41903.62,2023-05-24,active
ACC_CUST_00019_0,CUST_00019,credit,10264.82,2022-07-25,active
ACC_CUST_00019_1,CUST_00019,loan,38109.1,2023-04-26,active
ACC_CUST_00020_0,CUST_00020,credit,11637.79,2020-08-24,active
ACC_CUST_00020_1,CUST_00020,credit,15640.72,2021-02-05,active
ACC_CUST_00020_2,CUST_00020,loan,56039.56,2021-01-06,active
ACC_CUST_00021_0,CUST_00021,credit,8523.6,2023-07-18,active
ACC_CUST_00021_1,CUST_00021,credit,8598.26,2023-11-10,active
ACC_CUST_00021_2,CUST_00021,credit,15586.93,2023-03-20,active
ACC_CUST_00022_0,CUST_00022,credit,13959.03,2022-04-08,active
ACC_CUST_00022_1,CUST_00022,credit,24556.69,2023-04-07,active
ACC_CUST_00023_0,CUST_00023,loan,41043.92,2020-01-11,active
ACC_CUST_00024_0,CUST_00024,credit,11544.94,2023-04-05,active
ACC_CUST_00025_0,CUST_00025,credit,16302.75,2021-12-02,active
ACC_CUST_00025_1,CUST_00025,credit,15299.05,2023-11-13,active
ACC_CUST_00026_0,CUST_00026,mortgage,813871.13,2023-06-26,active
ACC_CUST_00027_0,CUST_00027,credit,16508.86,2022-08-23,active
ACC_CUST_00028_0,CUST_00028,credit,14711.97,2023-09-04,active
ACC_CUST_00029_0,CUST_00029,mortgage,1736032.05,2023-04-23,active
ACC_CUST_00030_0,CUST_00030,credit,8931.71,2023-04-08,active
ACC_CUST_00031_0,CUST_00031,credit,11442.84,2021-08-24,active
ACC_CUST_00031_1,CUST_00031,credit,11877.65,2023-06-30,active
ACC_CUST_00032_0,CUST_00032,credit,59162.84,2023-01-09,active
ACC_CUST_00032_1,CUST_00032,loan,70664.84,2023-01-27,active
ACC_CUST_00032_2,CUST_00032,credit,15344.59,2023-12-11,active
ACC_CUST_00033_0,CUST_00033,credit,16387.85,2020-01-30,active
ACC_CUST_00034_0,CUST_00034,credit,10559.96,2022-09-25,active
ACC_CUST_00035_0,CUST_00035,loan,71800.89,2022-11-02,active
ACC_CUST_00035_1,CUST_00035,loan,68347.37,2023-03-30,active
ACC_CUST_00035_2,CUST_00035,loan,167551.23,2021-05-13,active
ACC_CUST_00036_0,CUST_00036,credit,18742.65,2023-01-31,active
ACC_CUST_00036_1,CUST_00036,credit,20451.6,2023-06-12,active
ACC_CUST_00036_2,CUST_00036,credit,10518.84,2020-12-14,active
ACC_CUST_00037_0,CUST_00037,credit,8236.13,2022-01-27,active
ACC_CUST_00037_1,CUST_00037,credit,10343.52,2023-03-26,active
ACC_CUST_00037_2,CUST_00037,credit,27629.73,2023-11-26,active
ACC_CUST_00038_0,CUST_00038,credit,10031.84,2023-05-10,active
ACC_CUST_00038_1,CUST_00038,credit,11707.03,2023-11-22,active
ACC_CUST_00038_2,CUST_00038,credit,11881.22,2022-11-19,active
ACC_CUST_00039_0,CUST_00039,mortgage,660367.01,2023-04-30,active
ACC_CUST_00040_0,CUST_00040,credit,12683.89,2022-07-31,active
ACC_CUST_00040_1,CUST_00040,credit,11050.35,2022-06-03,active
ACC_CUST_00040_2,CUST_00040,credit,20702.97,2022-01-21,active
ACC_CUST_00041_0,CUST_00041,credit,12559.94,2022-05-16,active
ACC_CUST_00042_0,CUST_00042,credit,442800.72,2023-03-03,active
ACC_CUST_00043_0,CUST_00043,loan,46401.33,2022-03-02,active
ACC_CUST_00043_1,CUST_00043,credit,11107.63,2023-10-27,active
